eventName,id,eventId,runners,path
Caribbean Tigers v New York Strikers,1.232245129,33524813,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 72922097, 'name': 'Caribbean Tigers'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 67083366, 'name': 'New York Strikers'}],hist_data/ADVANCED/2025/Feb/12/33524813/1.232245129
Munster Reds v Leinster Lightning,1.231541189,33475068,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 19587212, 'name': 'Munster Reds'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 19587555, 'name': 'Leinster Lightning'}],hist_data/ADVANCED/2025/Feb/12/33475068/1.231541189
New York Strikers v Grand Cayman Stingrays,1.232019003,33508295,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 67083366, 'name': 'New York Strikers'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 72857116, 'name': 'Grand Cayman Stingrays'}],hist_data/ADVANCED/2024/Aug/20/33508295/1.232019003
Ireland Women v Sri Lanka Women,1.231954918,33504642,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 10108898, 'name': 'Ireland Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 10787826, 'name': 'Sri Lanka Women'}],hist_data/ADVANCED/2024/Aug/20/33504642/1.231954918
Miami Lions v Grand Cayman Stingrays,1.232018919,33508296,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 72857115, 'name': 'Miami Lions'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 72857116, 'name': 'Grand Cayman Stingrays'}],hist_data/ADVANCED/2024/Aug/20/33508296/1.232018919
Caribbean Giants v Boca Raton Trailblazers,1.232019056,33508297,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 72857117, 'name': 'Caribbean Giants'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 72857114, 'name': 'Boca Raton Trailblazers'}],hist_data/ADVANCED/2024/Aug/20/33508297/1.232019056
Glamorgan v Warwickshire,1.231895741,33501074,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 169, 'name': 'Glamorgan'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 2120, 'name': 'Warwickshire'}],hist_data/ADVANCED/2024/Aug/18/33501074/1.231895741
Somerset v Leicestershire,1.231895769,33501073,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 5995, 'name': 'Somerset'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 31377, 'name': 'Leicestershire'}],hist_data/ADVANCED/2024/Aug/18/33501073/1.231895769
Oval Invincibles v Southern Brave,1.231946357,33504088,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354923, 'name': 'Oval Invincibles'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354926, 'name': 'Southern Brave'}],hist_data/ADVANCED/2024/Aug/18/33504088/1.231946357
Ireland Women v Sri Lanka Women,1.231887491,33500547,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 10108898, 'name': 'Ireland Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 10787826, 'name': 'Sri Lanka Women'}],hist_data/ADVANCED/2024/Aug/18/33500547/1.231887491
Welsh Fire Women v London Spirit Women,1.231929101,33503359,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40096581, 'name': 'Welsh Fire Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40096576, 'name': 'London Spirit Women'}],hist_data/ADVANCED/2024/Aug/18/33503359/1.231929101
Kuwait v Hong Kong,1.232298775,33528205,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 8858694, 'name': 'Kuwait'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 247649, 'name': 'Hong Kong'}],hist_data/ADVANCED/2024/Aug/27/33528205/1.232298775
Czechia v Greece,1.232260815,33525729,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 60971788, 'name': 'Czechia'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 60971786, 'name': 'Greece'}],hist_data/ADVANCED/2024/Aug/27/33525729/1.232260815
Estonia v Malta,1.232259812,33525672,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 11392436, 'name': 'Estonia'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 48800301, 'name': 'Malta'}],hist_data/ADVANCED/2024/Aug/27/33525672/1.232259812
West Indies v South Africa,1.232283631,33527290,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 235, 'name': 'West Indies'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 349, 'name': 'South Africa'}],hist_data/ADVANCED/2024/Aug/27/33527290/1.232283631
Guyana Amazon Warriors v Barbados Royals Women,1.232301071,33527093,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 47674068, 'name': 'Guyana Amazon Warriors W'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 47674067, 'name': 'Barbados Royals W'}],hist_data/ADVANCED/2024/Aug/27/33527093/1.232301071
USA v Canada,1.232283561,33527201,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 891555, 'name': 'USA'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 144197, 'name': 'Canada'}],hist_data/ADVANCED/2024/Aug/27/33527201/1.232283561
Cyprus v Denmark,1.232258049,33525594,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 61422697, 'name': 'Cyprus'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 206388, 'name': 'Denmark'}],hist_data/ADVANCED/2024/Aug/27/33525594/1.232258049
Bulgaria v Finland,1.232260787,33525724,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 61077258, 'name': 'Bulgaria'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 48610314, 'name': 'Finland'}],hist_data/ADVANCED/2024/Aug/27/33525724/1.232260787
London Spirit v Manchester Originals,1.231545985,33475215,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354928, 'name': 'London Spirit'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354922, 'name': 'Manchester Originals'}],hist_data/ADVANCED/2024/Aug/9/33475215/1.231545985
London Spirit Women v Manchester Originals Women,1.231544455,33475282,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40096576, 'name': 'London Spirit Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40096590, 'name': 'Manchester Originals Women'}],hist_data/ADVANCED/2024/Aug/9/33475282/1.231544455
Somerset v Worcestershire,1.231539716,33474911,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 5995, 'name': 'Somerset'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 31372, 'name': 'Worcestershire'}],hist_data/ADVANCED/2024/Aug/9/33474911/1.231539716
Nottinghamshire v Gloucestershire,1.231540820,33475024,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 2780, 'name': 'Nottinghamshire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 2219, 'name': 'Gloucestershire'}],hist_data/ADVANCED/2024/Aug/9/33475024/1.231540820
Durham v Hampshire,1.231540814,33474963,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 31374, 'name': 'Durham'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 3961, 'name': 'Hampshire'}],hist_data/ADVANCED/2024/Aug/9/33474963/1.231540814
Brampton Wolves v Montreal Tigers,1.231541038,33474953,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 25173012, 'name': 'Brampton Wolves'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 19144241, 'name': 'Montreal Tigers'}],hist_data/ADVANCED/2024/Aug/9/33474953/1.231541038
Essex v Surrey,1.231501231,33472344,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 31376, 'name': 'Essex'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 424676, 'name': 'Surrey'}],hist_data/ADVANCED/2024/Aug/9/33472344/1.231501231
Netherlands Women v Papua New Guinea Women,1.231581347,33477608,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 25686043, 'name': 'Netherlands Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 12474498, 'name': 'Papua New Guinea Women'}],hist_data/ADVANCED/2024/Aug/9/33477608/1.231581347
Derbyshire v Kent,1.231540717,33475009,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 31375, 'name': 'Derbyshire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 5901, 'name': 'Kent'}],hist_data/ADVANCED/2024/Aug/9/33475009/1.231540717
Leicestershire v Glamorgan,1.231581430,33477741,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 31377, 'name': 'Leicestershire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 169, 'name': 'Glamorgan'}],hist_data/ADVANCED/2024/Aug/11/33477741/1.231581430
Netherlands v Canada,1.231469601,33469872,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 228749, 'name': 'Netherlands'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 144197, 'name': 'Canada'}],hist_data/ADVANCED/2024/Aug/11/33469872/1.231469601
Ireland Women v Sri Lanka Women,1.231587461,33478039,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 10108898, 'name': 'Ireland Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 10787826, 'name': 'Sri Lanka Women'}],hist_data/ADVANCED/2024/Aug/11/33478039/1.231587461
Oval Invincibles v London Spirit,1.231616213,33480309,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354923, 'name': 'Oval Invincibles'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354928, 'name': 'London Spirit'}],hist_data/ADVANCED/2024/Aug/11/33480309/1.231616213
Oval Invincibles Women v London Spirit Women,1.231615888,33480307,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40096582, 'name': 'Oval Invincibles Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40096576, 'name': 'London Spirit Women'}],hist_data/ADVANCED/2024/Aug/11/33480307/1.231615888
Northamptonshire v Lancashire,1.231582170,33477738,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 475559, 'name': 'Northamptonshire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 424679, 'name': 'Lancashire'}],hist_data/ADVANCED/2024/Aug/11/33477738/1.231582170
Warwickshire v Yorkshire,1.231582261,33477736,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 2120, 'name': 'Warwickshire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 655, 'name': 'Yorkshire'}],hist_data/ADVANCED/2024/Aug/11/33477736/1.231582261
Nottinghamshire v Essex,1.231582198,33477752,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 2780, 'name': 'Nottinghamshire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 31376, 'name': 'Essex'}],hist_data/ADVANCED/2024/Aug/11/33477752/1.231582198
Sussex v Surrey,1.231582255,33477755,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 31379, 'name': 'Sussex'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 424676, 'name': 'Surrey'}],hist_data/ADVANCED/2024/Aug/11/33477755/1.231582255
Manchester Originals W v Northern Superchargers W ,1.231615492,33480308,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40296818, 'name': 'Manchester Originals W'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40380900, 'name': 'Northern Superchargers W'}],hist_data/ADVANCED/2024/Aug/11/33480308/1.231615492
Scotland Women v Papua New Guinea Women,1.231613187,33480112,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 12482925, 'name': 'Scotland Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 12474498, 'name': 'Papua New Guinea Women'}],hist_data/ADVANCED/2024/Aug/11/33480112/1.231613187
Manchester Originals v Northern Superchargers,1.231615960,33480310,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354922, 'name': 'Manchester Originals'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354924, 'name': 'Northern Superchargers'}],hist_data/ADVANCED/2024/Aug/11/33480310/1.231615960
Middlesex v Somerset,1.231581624,33477743,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 31378, 'name': 'Middlesex'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 5995, 'name': 'Somerset'}],hist_data/ADVANCED/2024/Aug/11/33477743/1.231581624
Montreal Tigers v Toronto Nationals,1.231679052,33484467,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 19144241, 'name': 'Montreal Tigers'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 19144236, 'name': 'Toronto Nationals'}],hist_data/ADVANCED/2024/Aug/11/33484467/1.231679052
Kent v Durham,1.231581420,33477750,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 5901, 'name': 'Kent'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 31374, 'name': 'Durham'}],hist_data/ADVANCED/2024/Aug/11/33477750/1.231581420
Worcestershire v Hampshire,1.231582357,33477757,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 31372, 'name': 'Worcestershire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 3961, 'name': 'Hampshire'}],hist_data/ADVANCED/2024/Aug/11/33477757/1.231582357
Munster Reds v Leinster Lightning,1.231396913,33464993,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 19587212, 'name': 'Munster Reds'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 19587555, 'name': 'Leinster Lightning'}],hist_data/ADVANCED/2024/Aug/7/33464993/1.231396913
Trent Rockets Women v London Spirit Women,1.231402835,33465487,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 40096580, 'name': 'Trent Rockets Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 40096576, 'name': 'London Spirit Women'}],hist_data/ADVANCED/2024/Aug/7/33465487/1.231402835
Gloucestershire v Sussex,1.231431360,33467055,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 2219, 'name': 'Gloucestershire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 31379, 'name': 'Sussex'}],hist_data/ADVANCED/2024/Aug/7/33467055/1.231431360
Hampshire v Derbyshire,1.231431372,33467054,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 3961, 'name': 'Hampshire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 31375, 'name': 'Derbyshire'}],hist_data/ADVANCED/2024/Aug/7/33467054/1.231431372
Sri Lanka v India,1.231453171,33468214,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 7337, 'name': 'Sri Lanka'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 414464, 'name': 'India'}],hist_data/ADVANCED/2024/Aug/7/33468214/1.231453171
Worcestershire v Kent,1.231431354,33467056,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 31372, 'name': 'Worcestershire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 5901, 'name': 'Kent'}],hist_data/ADVANCED/2024/Aug/7/33467056/1.231431354
Trent Rockets v London Spirit,1.231432692,33467092,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 26354925, 'name': 'Trent Rockets'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 26354928, 'name': 'London Spirit'}],hist_data/ADVANCED/2024/Aug/7/33467092/1.231432692
Northamptonshire v Somerset,1.231431366,33467057,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 475559, 'name': 'Northamptonshire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 5995, 'name': 'Somerset'}],hist_data/ADVANCED/2024/Aug/7/33467057/1.231431366
Leinster Lightning v North-West Warriors,1.232375043,33534236,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 19587555, 'name': 'Leinster Lightning'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 25651861, 'name': 'North-West Warriors'}],hist_data/ADVANCED/2024/Aug/29/33534236/1.232375043
Barbados Royals W v Trinidad Knight Riders W,1.232376319,33534254,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 47674067, 'name': 'Barbados Royals W'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 72963954, 'name': 'Trinidad Knight Riders W'}],hist_data/ADVANCED/2024/Aug/29/33534254/1.232376319
Ireland Women v Sri Lanka Women,1.231812237,33494693,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 10108898, 'name': 'Ireland Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 10787826, 'name': 'Sri Lanka Women'}],hist_data/ADVANCED/2024/Aug/16/33494693/1.231812237
Netherlands Women v Scotland Women,1.231835108,33497015,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 25686043, 'name': 'Netherlands Women'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 12482925, 'name': 'Scotland Women'}],hist_data/ADVANCED/2024/Aug/16/33497015/1.231835108
Worcestershire v Warwickshire,1.231819462,33495564,[{'status': 'ACTIVE', 'sortPriority': 1, 'id': 31372, 'name': 'Worcestershire'}, {'status': 'ACTIVE', 'sortPriority': 2, 'id': 2120, 'name': 'Warwickshire'}],hist_data/ADVANCED/2024/Aug/16/33495564/1.231819462
