status,bet_id,market_id,selection_id,handicap,side,avg_price_matched,size_matched,size_remaining,gross_profit,commission,net_pnl,mtm_green_pnl,placed_date,settled_date,customer_order_ref,customer_strategy_ref
SETTLED,426245268934,1.257025531,2857971,0.0,BACK,1.96,2.0,0.0,-2.0,0.0,-2.0,,2026-04-20 11:39:27+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959779677333759,latent_microstr
SETTLED,426245290871,1.257025531,2857971,0.0,LAY,1.96,2.0,0.0,2.0,0.0,2.0,,2026-04-20 11:39:51+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959779914280686,latent_microstr
SETTLED,426245296372,1.257025531,2857971,0.0,BACK,1.95,2.0,0.0,-2.0,0.0,-2.0,,2026-04-20 11:39:57+00:00,2026-04-20 15:10:36+00:00,0e9ade70fba64-139959779976286922,liquidity_momen
SETTLED,426245312187,1.257025531,2857971,0.0,LAY,1.95,2.0,0.0,2.0,0.0,2.0,,2026-04-20 11:40:10+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959780109354098,latent_microstr
SETTLED,426245319825,1.257025531,2857971,0.0,LAY,1.89,2.0,0.0,2.0,0.0,2.0,,2026-04-20 11:40:17+00:00,2026-04-20 15:10:36+00:00,0e9ade70fba64-139959780170623195,liquidity_momen
SETTLED,426245636472,1.257025531,247650,0.0,BACK,2.04,2.0,0.0,2.08,0.0,2.08,,2026-04-20 11:45:38+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959783386979902,latent_microstr
SETTLED,426245641438,1.257025531,247650,0.0,LAY,2.06,2.0,0.0,-2.12,0.0,-2.12,,2026-04-20 11:45:43+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959783438591285,latent_microstr
SETTLED,426245646503,1.257025531,247650,0.0,LAY,2.04,2.0,0.0,-2.08,0.0,-2.08,,2026-04-20 11:45:49+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959783493003198,latent_microstr
SETTLED,426245653167,1.257025531,247650,0.0,LAY,1.85,2.0,0.0,-1.7,0.0,-1.7,,2026-04-20 11:45:54+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959783544380830,latent_microstr
SETTLED,426245653284,1.257025531,2857971,0.0,LAY,2.25,2.0,0.0,2.0,0.0,2.0,,2026-04-20 11:45:54+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959783545308189,latent_microstr
SETTLED,426245658141,1.257025531,247650,0.0,LAY,1.85,2.0,0.0,-1.69,0.0,-1.69,,2026-04-20 11:45:59+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959783596318865,latent_microstr
SETTLED,426245681516,1.257025531,2857971,0.0,LAY,2.37,2.0,0.0,2.0,0.0,2.0,,2026-04-20 11:46:24+00:00,2026-04-20 15:10:36+00:00,0e9ade70fba64-139959783841263671,liquidity_momen
SETTLED,426245685295,1.257025531,247650,0.0,LAY,1.76,2.0,0.0,-1.52,0.0,-1.52,,2026-04-20 11:46:29+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959783892616331,latent_microstr
SETTLED,426245689487,1.257025531,2857971,0.0,LAY,2.32,1.98,0.0,1.98,0.0,1.98,,2026-04-20 11:46:34+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959783943973898,latent_microstr
SETTLED,426245689489,1.257025531,247650,0.0,LAY,1.7,2.0,0.0,-1.4,0.0,-1.4,,2026-04-20 11:46:34+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959783943982492,latent_microstr
SETTLED,426245702970,1.257025531,247650,0.0,LAY,1.75,2.0,0.0,-1.49,0.0,-1.49,,2026-04-20 11:46:48+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959784087743948,latent_microstr
SETTLED,426245707281,1.257025531,2857971,0.0,LAY,2.33,2.0,0.0,2.0,0.0,2.0,,2026-04-20 11:46:54+00:00,2026-04-20 15:10:36+00:00,0e9ade70fba64-139959784141320979,liquidity_momen
SETTLED,426245715360,1.257025531,247650,0.0,LAY,1.7,2.0,0.0,-1.4,0.0,-1.4,,2026-04-20 11:47:01+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959784212641469,latent_microstr
SETTLED,426245720320,1.257025531,2857971,0.0,LAY,2.48,2.0,0.0,2.0,0.0,2.0,,2026-04-20 11:47:06+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959784263481141,latent_microstr
SETTLED,426245775556,1.257025531,247650,0.0,LAY,1.82,2.0,0.0,-1.64,0.0,-1.64,,2026-04-20 11:48:04+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959784840862139,latent_microstr
SETTLED,426245786076,1.257025531,2857971,0.0,LAY,2.26,2.0,0.0,2.0,0.0,2.0,,2026-04-20 11:48:13+00:00,2026-04-20 15:10:36+00:00,0e9ade70fba64-139959784933301422,liquidity_momen
SETTLED,426245790865,1.257025531,247650,0.0,LAY,1.82,2.0,0.0,-1.64,0.0,-1.64,,2026-04-20 11:48:18+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959784984118166,latent_microstr
SETTLED,426245795501,1.257025531,247650,0.0,LAY,1.82,2.0,0.0,-1.64,0.0,-1.64,,2026-04-20 11:48:23+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959785035857232,latent_microstr
SETTLED,426245797540,1.257025531,2857971,0.0,LAY,2.3,2.0,0.0,2.0,0.0,2.0,,2026-04-20 11:48:26+00:00,2026-04-20 15:10:36+00:00,0e9ade70fba64-139959785067143299,liquidity_momen
SETTLED,426245801487,1.257025531,247650,0.0,LAY,1.73,2.0,0.0,-1.46,0.0,-1.46,,2026-04-20 11:48:31+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959785118218199,latent_microstr
SETTLED,426245804740,1.257025531,2857971,0.0,LAY,2.38,2.0,0.0,2.0,0.0,2.0,,2026-04-20 11:48:37+00:00,2026-04-20 15:10:36+00:00,0e9ade70fba64-139959785171319137,liquidity_momen
SETTLED,426245812715,1.257025531,247650,0.0,LAY,1.72,2.0,0.0,-1.44,0.0,-1.44,,2026-04-20 11:48:46+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959785261144478,latent_microstr
SETTLED,426245816822,1.257025531,2857971,0.0,LAY,2.36,2.0,0.0,2.0,0.0,2.0,,2026-04-20 11:48:51+00:00,2026-04-20 15:10:36+00:00,48e19f7069c0b-139959785313170695,latent_microstr
